site_no	remarks
04010500	Records good except those for estimated daily discharges, which are poor. 
04024000	Diurnal fluctuation caused by power plant upstream. Flow regulated by Whiteface Reservoir and Boulder, Island, Rice and Fish Lakes, combined capacity, 332,160 acre-ft; the water-discharge table that was published prior to the 2014 water year, shows the monthly change in contents (+).  Prior to 2014 water year, change in contents, equivalent in cubic feet per second, in Whiteface Reservoir, and Boulder, Island, Rice and Fish Lakes; records furnished by Minnesota Power Co. adjusted for change in reservoir contents.  Daily discharge record considered good except those for estimated daily-mean discharges, which are poor.  
04027000	Records are considered good except for estimated daily discharges which are poor and other periods as noted. For records status prior to October 1, 2013, see remarks printed in annual water-data reports. Data-collection platform at station.
04027500	Records are considered good, except for estimated daily discharges which are poor and other periods as noted below. For records prior to October 1, 2013, see remarks printed in the annual water-data reports. Diurnal fluctuation caused by hydroelectric plant at gage. Gage-height telemeter at station.  10/01/14-09/30/15: Fair
04036000	Flow regulated by Lake Gogebic (station 04035995).
04037500	Flow regulated by Cisco Lake (station 04037400).  
04040000	Flow regulated by Victoria powerplant on West Branch 5 mi upstream; Bond Falls Reservoir 34 mi upstream; Lake Gogebic (station 04035995); and Cisco Lake (station 04037400), in headwaters. 
04040500	none
04041500	none
04045500	none
04056500	none
04057800	From July 1960 to June 1972, some diversion 100 ft upstream by industry for iron ore processing; figures of runoff adjusted.
04059000	Since 1950, flow regulated by Boney Falls powerplant 7 mi upstream.  Since August 1962, some regulation by Schweitzer Reservoir (station 04058190) approximately 50 mi upstream.  Since December 1972, some regulation by Greenwood Reservoir (station 04057811) approximately 60 mi upstream.
04059500	none
04060993	Discharge includes some mine pumpage prior to August 1977.  
04062000	Flow completely regulated by powerplant and Lower Paint Dam, 0.6 mi upstream.  Records not adjusted for diversion to Michigamme River by Paint River Diversion Canal.
04062500	Flow regulated by powerplant and by Michigamme Reservoir, capacity, 119,950 acre-ft, 5 mi upstream.
04063000	Prior to July 1950, discharge determined from powerplant records computed on basis of load-discharge rating of hydroelectric units and rating for tailwater gage during periods of spill; ratings developed by U.S. Geological Survey.  Flow regulated by powerplants, by Michigamme Reservoir, capacity, 119,950 acre-ft, by Peavy Pond, capacity, 33,860 acre-ft, on Michigamme River, and by many smaller reservoirs upstream from station. 
04063500	Prior to September 1957, discharge determined from powerplant records computed on basis of load-discharge rating of hydroelectric units and rating for tailwater gage during periods of spill; ratings developed by U.S. Geological Survey.  Flow regulated by powerplants, by Michigamme Reservoir, capacity, 119,950 acre-ft, by Peavy Pond, capacity, 33,860 acre-ft, on Michigamme River, and by many smaller reservoirs upstream from station.
04069500	Records are considered good except for estimated daily discharges which are poor and other periods as noted. For records status prior to October 1, 2013, see remarks printed in annual water-data reports.  Diurnal fluctuation caused by two powerplants upstream. Gage-height telemeter at station.
04071000	Records are considered good except for estimated daily discharges which are poor and other periods as noted. For records status prior to October 1, 2013, see remarks printed in annual water-data reports. Gage-height telemeter at station.
04073500	Records are considered good except for estimated daily discharges which are poor and other periods as noted. For records status prior to October 1, 2013, see remarks printed in annual water-data reports. Usually less than about 10 ft³/s was diverted into the basin from the Wisconsin River at Portage Canal throughout the year. Data-collection platform and gage-height telemeter at station.
04079000	Gage-height telemeter and data-collection platform at station. Records are considered good except for estimated daily discharges, which are poor, and other periods as noted. For records status prior to October 1, 2013, see remarks printed in annual water-data reports. 
04086000	Records are considered good except for estimated daily discharges which are poor and other periods as noted. For records status prior to October 1, 2013, see remarks printed in annual water-data reports. Diurnal fluctuation caused by numerous powerplants above station. Gage-height telemeter at station.
04087000	Records are considered good except for estimated daily discharges which are poor and other periods as noted. For records status prior to October 1, 2013, see remarks printed in annual water-data reports. Occasional regulation caused by recreation dam approximately 1,200 ft upstream. Gage-height telemeter at station.
04099000	Flow regulated by powerplants upstream from station.
